County,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Electric Utility,Vehicle Age,Is Luxury Brand
Kittitas,98940,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,13,PUGET SOUND ENERGY INC,10,1
King,98092,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98023,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,30,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98059,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98004,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98004,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
Kitsap,98310,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,23,PUGET SOUND ENERGY INC,6,1
Kitsap,98110,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,23,PUGET SOUND ENERGY INC,8,1
Thurston,98576,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,20,PUGET SOUND ENERGY INC,11,1
King,98011,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),1,17,34995,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,0
King,98052,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Snohomish,98258,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,44,PUGET SOUND ENERGY INC,7,1
Clark,98606,2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),1,14,184400,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,0
King,98031,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98034,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98052,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98034,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98103,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
Kitsap,98110,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,23,PUGET SOUND ENERGY INC,11,1
King,98034,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Thurston,98512,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,35,PUGET SOUND ENERGY INC,11,1
King,98178,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98033,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
